127.0.0.1 - - [23/Dec/2023:00:54:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:54:55 +0530] "GET /Servlets/Login_Page.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:54:55 +0530] "GET /Servlets/Login_Page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:21 +0530] "GET /Servlets/login?email_Id=ks%40123&password=1234 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:31 +0530] "GET /Servlets/login?email_Id=ks%40123&password=123 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:34 +0530] "GET /Servlets/login?email_Id=&password= HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:36 +0530] "GET /Servlets/login?email_Id=&password= HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:37 +0530] "GET /Servlets/login?email_Id=&password= HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:55:44 +0530] "GET /Servlets/login?email_Id=ks%40123&password=123 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:56:31 +0530] "GET /Servlets/servlet/com.studentsdetails.controller.LoginServlet HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:56:45 +0530] "GET /Servlets/Login_Page.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:56:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:56:50 +0530] "GET /Servlets/login?email_Id=ks%40123&password=123 HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:57:23 +0530] "GET /Servlets/Login_Page.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [23/Dec/2023:00:57:28 +0530] "GET /Servlets/login?email_Id=ks%40123&password=123 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:04:51 +0530] "GET /Servlets/Login_Page.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:04:51 +0530] "GET /Servlets/Login_Page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:04:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:04:59 +0530] "GET /Servlets/login?email_Id=ks%40123&password=123 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:05:11 +0530] "GET /Servlets/Signin_Page.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:05:11 +0530] "GET /Servlets/Signin_Page.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:05:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:05:40 +0530] "POST /Servlets/signin HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [23/Dec/2023:01:05:54 +0530] "GET /Servlets/Login_Page.jsp HTTP/1.1" 200 508
